MEMBER,CANCIONES - TOTAL,CANCIONES - OT24,CANCIONES - CANTIDAD,CANCIONES - PROMEDIO,CANCIONES - 1ST,MV - GND,MV - ID,MV - HTF,MV - UTT,MV - TOTAL,MVS - CANTIDAD,MV - PROMEDIO,MVS - 1ST,VIDEOS - TOTAL,VIDEOS - TOTAL - SOLO,VIDEOS - TOTAL - ON ,FANCAMS,TOURZ,VV,VIDEOS - ON - FESTIVAL+,VIDEOS - OFF ,VIDEOS - OFF - SOLO,VIDEOS - OFF - OFFICIAL,VIDEOS - OFF - OFFICIAL - SOLO,VIDEOS - SHORTS - OFFICIAL,VIDEOS - SHORTS - OFFICIAL - SOLO,VIDEOS - SIGNAL,VIDEOS - SIGNAL - SOLO,VIDEOS - SECRETBASE,VIDEOS - LIVE,VIDEOS - LIVE - SOLO,VIDEOS - OFF - NON OFFICIAL,VIDEOS - OFF - NON OFFICIAL - SOLO,VIDEOS - SHORTS - NON OFFICIAL,VIDEOS - SHORTS - NON OFFICIAL - SOLO,VIDEOS - OFF - VARIETY,VIDEOS - OFF STAGE - VARIETY - SOLO
Seoyeon,,,,,,6,,,,,,4,3,4,,3,1,6,,3,,,,,,4,3,6,5,,,2,1,,,,
Hyerin,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,
Jiwoo,,5,,3,,,,,,,,,,,,,,,,6,,,,1,,3,,,,4,,,,,,,
Chaeyeon,,3,,,,,,,,,,,,,2,,,,,1,3,2,,,,,,,2,1,,4,4,,,,4
Yooyeon,,,6,,,5,,2,3,5,6,5,,3,6,,6,,6,,6,5,1,3,,2,,1,6,,,6,5,2,,6,5
Soomin,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nakyoung,6,4,4,5,5,,,,,,,,,5,3,5,5,6,4,,2,3,,,3,,,,,,,3,3,,,4,1
Yubin,2,,4,,,,,,,,,,,,,,2,,,,1,,6,,5,,,,,2,,,,6,6,,
Kaede,3,,,1,5,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,5,2,,
Dahyun,5,6,,6,6,,,,,,,,,2,,6,,,,5,,,,4,,,,,,3,2,,,,,,
Kotone,,,4,,,,,6,,3,,3,3,,,,,,,,4,,5,,6,6,4,5,,,,1,,,4,2,
Yeonji,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
Nien,,,,,,,,,,,,,,6,5,2,,6,,,5,6,,,4,1,1,,3,,,5,6,3,,5,6
Sohyun,1,1,2,,3,2,,,,,,,,,4,,3,,2,,,4,,6,,,,,,,6,,,,,,
Xinyu,,,,,,,,,,,,,,,,,4,,,,,,,,1,5,,,1,,,,2,4,,3,3
Mayu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
Lynn,,,,,,,,4,,,,,,,,,,,,,,,2,,,,6,,,,,,,,,,
Joobin,,,,,,,,,,,,,,,,4,,6,,4,,,,,,,5,3,,,,,,,,,
Hayeon,,,,,,1,,,,,,,,1,1,1,,6,,,,1,,5,,,,2,,5,4,,,,,,2
Shion,4,2,,4,4,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Chaewon,,,,2,,,6,,6,6,6,6,6,,,,,,,2,,,,,,,,,,6,,,,,,,
Sullin,,,,,,,,,,1,,,,,,,,6,,,,,,,,,,,,,,,,,,,
Seoah,,,,,,,,,,2,,1,,,,,,6,,,,,,,,,,,,,,,,,,,
Jiyeon,,,2,,,4,,,,4,6,2,,,,,,,,,,,4,,,,,,,,,,,,,1,